Load (N)	Time (s)	Extension (mm)
		
0.22	0	-0.97139
-0.17	0.1	-0.97139
2.6	0.4	-0.9671
2.71	0.6	-0.96014
3.98	0.8	-0.95022
-0.5	1	-0.94379
1.21	1.2	-0.93655
-0.72	1.4	-0.93066
-0.17	1.6	-0.9253
0.11	1.8	-0.9194
0.28	2	-0.91297
0.77	2.2	-0.90681
1.1	2.4	-0.90037
-0.17	2.6	-0.891
-0.11	2.8	-0.88269
-0.22	3	-0.87545
-0.22	3.2	-0.87143
1.38	3.4	-0.86554
3.26	3.6	-0.85937
2.6	3.8	-0.85294
3.92	4	-0.84678
3.92	4.2	-0.84061
3.76	4.4	-0.83177
2.54	4.6	-0.82212
1.16	4.8	-0.81516
1.16	5	-0.81114
3.2	5.2	-0.80524
4.09	5.4	-0.79934
5.25	5.6	-0.79318
5.74	5.8	-0.78675
4.36	6	-0.78085
5.14	6.2	-0.77228
3.98	6.4	-0.76102
0.99	6.6	-0.75405
0.88	6.8	-0.75004
3.92	7	-0.74468
4.53	7.2	-0.73905
5.19	7.4	-0.73288
6.02	7.6	-0.72672
6.52	7.8	-0.72056
5.58	8	-0.71252
5.36	8.2	-0.70099
-1.55	8.4	-0.69269
-1.38	8.6	-0.6892
0.55	8.8	-0.68518
2.37	9	-0.67902
1.21	9.2	-0.67312
2.32	9.4	-0.66669
2.6	9.6	-0.66053
2.93	9.8	-0.65383
0.99	10	-0.64338
1.1	10.2	-0.63695
1.82	10.4	-0.63078
0.99	10.6	-0.62435
1.88	10.8	-0.61899
2.37	11	-0.61309
1.71	11.2	-0.60666
3.26	11.4	-0.6005
1.77	11.6	-0.59407
2.6	11.8	-0.58415
-0.99	12	-0.57692
1.1	12.2	-0.56995
-1.55	12.4	-0.56432
0.33	12.6	-0.55869
-0.28	12.8	-0.5528
0.28	13	-0.54663
0.22	13.2	-0.5402
-0.11	13.4	-0.53377
0.5	13.6	-0.52412
-0.17	13.8	-0.51555
-0.22	14	-0.50858
0.11	14.2	-0.50483
1.99	14.4	-0.49867
2.6	14.6	-0.49277
3.15	14.8	-0.48661
3.53	15	-0.48017
4.92	15.2	-0.47374
